1358542527.632608 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542527.632636 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 1
1358542527.632667 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542527.632695 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358542527.632725 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358542527.632754 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 9	
1358542527.632783 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542527.632813 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542527.632842 - nlsr_lsdb.c, install_adj_lsa, 907 : adj_lsa_end
1358542533.145208 - nlsr_lsdb.c, install_adj_lsa, 887 : Adj-LSA
1358542533.145299 - nlsr_lsdb.c, install_adj_lsa, 888 : Deleting adj lsa
1358542533.145330 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542533.145359 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/castor
1358542533.145401 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 27
1358542533.145432 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542533.145462 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542407352555
1358542533.145492 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542533.145521 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 2
1358542533.145551 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542533.145580 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358542533.145609 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358542533.145638 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358542533.145667 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542533.145696 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 981 :		Link 2	 	
1358542533.145725 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 982 :		Adjacent Router: /ndn/memphis.edu/cs/mira	
1358542533.145754 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 983 :		Adjacent Router Length: 25	
1358542533.145801 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 984 :		Connecting Face: 8	
1358542533.145830 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 985 :		Metric: 10	
1358542533.145859 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542533.145887 - nlsr_lsdb.c, install_adj_lsa, 890 : adj_lsa_end
1358542533.145919 - nlsr_lsdb.c, install_adj_lsa, 904 : Adj-LSA
1358542533.145948 - nlsr_lsdb.c, install_adj_lsa, 905 : Adding adj lsa
1358542533.145977 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358542533.146005 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/castor
1358542533.146034 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 27
1358542533.146063 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358542533.146091 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542533145135
1358542533.146120 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358542533.146148 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 1
1358542533.146178 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358542533.146206 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358542533.146235 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358542533.146264 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358542533.146292 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358542533.146321 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358542533.146349 - nlsr_lsdb.c, install_adj_lsa, 907 : adj_lsa_end
1358543003.811024 - nlsr_lsdb.c, refresh_name_lsdb, 1816 : Name-LSA
1358543003.811120 - nlsr_lsdb.c, refresh_name_lsdb, 1817 : Deleting name lsa
1358543003.811152 - nlsr_lsdb.c, write_log_for_name_lsa, 499 :-----------Name LSA Content---------------
1358543003.811183 - nlsr_lsdb.c, write_log_for_name_lsa, 500 :	Origination Router: /ndn/memphis.edu/cs/castor
1358543003.811214 - nlsr_lsdb.c, write_log_for_name_lsa, 501 :	Origination Router Length:	27
1358543003.811244 - nlsr_lsdb.c, write_log_for_name_lsa, 502 :	LS Type:	2
1358543003.811274 - nlsr_lsdb.c, write_log_for_name_lsa, 503 :	LS Id:	1
1358543003.811304 - nlsr_lsdb.c, write_log_for_name_lsa, 504 :	Origination Time:	1358542402126283
1358543003.811334 - nlsr_lsdb.c, write_log_for_name_lsa, 505 :	Is Valid:	1
1358543003.811365 - nlsr_lsdb.c, write_log_for_name_lsa, 506 :	LSA Data			
1358543003.811395 - nlsr_lsdb.c, write_log_for_name_lsa, 507 :		Name Prefix: /ndn/memphis.edu/cs/castor/name1
1358543003.811425 - nlsr_lsdb.c, write_log_for_name_lsa, 508 :		Name Prefix Length:	33
1358543003.811455 - nlsr_lsdb.c, write_log_for_name_lsa, 509 :
1358543003.811485 - nlsr_lsdb.c, refresh_name_lsdb, 1819 : name_lsa_end
1358543003.811518 - nlsr_lsdb.c, refresh_name_lsdb, 1831 : Name-LSA
1358543003.811548 - nlsr_lsdb.c, refresh_name_lsdb, 1832 : Adding name lsa
1358543003.811578 - nlsr_lsdb.c, write_log_for_name_lsa, 499 :-----------Name LSA Content---------------
1358543003.811608 - nlsr_lsdb.c, write_log_for_name_lsa, 500 :	Origination Router: /ndn/memphis.edu/cs/castor
1358543003.811638 - nlsr_lsdb.c, write_log_for_name_lsa, 501 :	Origination Router Length:	27
1358543003.811668 - nlsr_lsdb.c, write_log_for_name_lsa, 502 :	LS Type:	2
1358543003.811698 - nlsr_lsdb.c, write_log_for_name_lsa, 503 :	LS Id:	1
1358543003.811728 - nlsr_lsdb.c, write_log_for_name_lsa, 504 :	Origination Time:	1358543003811505
1358543003.811758 - nlsr_lsdb.c, write_log_for_name_lsa, 505 :	Is Valid:	1
1358543003.811788 - nlsr_lsdb.c, write_log_for_name_lsa, 506 :	LSA Data			
1358543003.811818 - nlsr_lsdb.c, write_log_for_name_lsa, 507 :		Name Prefix: /ndn/memphis.edu/cs/castor/name1
1358543003.811848 - nlsr_lsdb.c, write_log_for_name_lsa, 508 :		Name Prefix Length:	33
1358543003.811879 - nlsr_lsdb.c, write_log_for_name_lsa, 509 :
1358543003.811908 - nlsr_lsdb.c, refresh_name_lsdb, 1834 : name_lsa_end
1358543184.809429 - nlsr_lsdb.c, refresh_adj_lsdb, 1964 : Adj-LSA
1358543184.809529 - nlsr_lsdb.c, refresh_adj_lsdb, 1965 : Deleting adj lsa
1358543184.809580 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358543184.809611 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/castor
1358543184.809640 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 27
1358543184.809668 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358543184.809697 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358542533145135
1358543184.809726 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358543184.809756 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 1
1358543184.809788 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358543184.809817 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358543184.809846 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358543184.809875 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358543184.809903 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358543184.809932 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358543184.809960 - nlsr_lsdb.c, refresh_adj_lsdb, 1967 : adj_lsa_end
1358543184.809993 - nlsr_lsdb.c, refresh_adj_lsdb, 1980 : Adj-LSA
1358543184.810022 - nlsr_lsdb.c, refresh_adj_lsdb, 1981 : Adding adj lsa
1358543184.810050 - nlsr_lsdb.c, write_log_for_adj_lsa, 997 :-----------Adj LSA Content---------------
1358543184.810078 - nlsr_lsdb.c, write_log_for_adj_lsa, 998 :	Origination Router: /ndn/memphis.edu/cs/castor
1358543184.810107 - nlsr_lsdb.c, write_log_for_adj_lsa, 999 :	Origination Router Length: 27
1358543184.810136 - nlsr_lsdb.c, write_log_for_adj_lsa, 1000 :	LS Type:	1
1358543184.810164 - nlsr_lsdb.c, write_log_for_adj_lsa, 1001 :	Origination Time: 1358543184809979
1358543184.810193 - nlsr_lsdb.c, write_log_for_adj_lsa, 1002 :	Lsa Data:
1358543184.810222 - nlsr_lsdb.c, write_log_for_adj_lsa, 1003 :		No of Link: 1
1358543184.810252 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 968 :		Link 1	 	
1358543184.810280 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 969 :		Adjacent Router: /ndn/memphis.edu/cs/maia	
1358543184.810309 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 970 :		Adjacent Router Length: 25	
1358543184.810337 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 971 :		Connecting Face: 10	
1358543184.810366 - nlsr_lsdb.c, write_log_for_adj_lsa_body, 972 :		Metric: 10	
1358543184.810396 - nlsr_lsdb.c, write_log_for_adj_lsa, 1007 :
1358543184.810424 - nlsr_lsdb.c, refresh_adj_lsdb, 1983 : adj_lsa_end
1358543305.320752 - nlsr_lsdb.c, delete_name_lsa, 1663 : Name-LSA
1358543305.320851 - nlsr_lsdb.c, delete_name_lsa, 1664 : Deleting name lsa
1358543305.320884 - nlsr_lsdb.c, write_log_for_name_lsa, 499 :-----------Name LSA Content---------------
1358543305.320915 - nlsr_lsdb.c, write_log_for_name_lsa, 500 :	Origination Router: /ndn/memphis.edu/cs/mira
1358543305.320945 - nlsr_lsdb.c, write_log_for_name_lsa, 501 :	Origination Router Length:	25
